Authors,Title,Publication,Volume,Issue,Pages,Year,Publisher
"Maggi, Matías Daniel; Ruffinengo, Sergio Roberto; Mendoza, Yamandú; Ojeda, Pilar; Ramallo, Gustavo; Floris, Iganazio; Eguaras, Martín Javier; ",Susceptibility of Varroa destructor (Acari: Varroidae) to synthetic acaricides in Uruguay: Varroa mites’ potential to develop acaricide resistance,Parasitology research,108,,815-821,2011,Springer-Verlag
"Locke, Barbara; Forsgren, Eva; Fries, Ingemar; de Miranda, Joachim R; ",Acaricide treatment affects viral dynamics in Varroa destructor-infested honey bee colonies via both host physiology and mite control,Applied and environmental Microbiology,78,1,227-235,2012,Am Soc Microbiol
"Pietropaoli, Marco; Formato, Giovanni; ",Acaricide efficacy and honey bee toxicity of three new formic acid-based products to control Varroa destructor,Journal of Apicultural Research,58,5,824-830,2019,Taylor & Francis
"Almecija, Gabrielle; Poirot, Benjamin; Ventelon, Marie; Suppo, Christelle; ",Modelling the impact of Apivar treatment on a Varroa mite population and the influence of resistance,Pest Management Science,78,2,831-840,2022,Wiley Online Library
"Maggi, Matías Daniel; Ruffinengo, Sergio R; Damiani, Natalia; Sardella, Norma H; Eguaras, Martín J; ",First detection of Varroa destructor resistance to coumaphos in Argentina,Experimental and Applied Acarology,47,,317-320,2009,Springer Netherlands
"Gregorc, Ales; Planinc, Ivo; ",The control of Varroa destructor in honey bee colonies using the thymol-based acaricide-Apiguard,American Bee Journal,145,8,672-675,2005,"[Hamilton, Ill.: Dadant & Sons], 1861-"
"Martin, Stephen J; Ball, Brenda V; Carreck, Norman L; ",Prevalence and persistence of deformed wing virus (DWV) in untreated or acaricide-treated Varroa destructor infested honey bee (Apis mellifera) colonies,Journal of Apicultural Research,49,1,72-79,2010,Taylor & Francis
"Higes, Mariano; Martín-Hernández, Raquel; Hernández-Rodríguez, Carmen Sara; González-Cabrera, Joel; ",Assessing the resistance to acaricides in Varroa destructor from several Spanish locations,Parasitology Research,119,11,3595-3601,2020,Springer
"Vu, Philene D; Rault, Leslie C; Jenson, Lacey J; Bloomquist, Jeffrey R; Anderson, Troy D; ",Voltage-gated chloride channel blocker DIDS as an acaricide for Varroa mites,Pesticide biochemistry and physiology,167,,104603,2020,Elsevier
"Pettis, Jeff S; ",A scientific note on Varroa destructor resistance to coumaphos in the United States,Apidologie,35,1,91-92,2004,EDP Sciences
"Gregorc, Aleš; Alburaki, Mohamed; Sampson, Blair; Knight, Patricia R; Adamczyk, John; ",Toxicity of selected acaricides to honey bees (Apis mellifera) and Varroa (Varroa destructor Anderson and Trueman) and their use in controlling Varroa within honey bee colonies,Insects,9,2,55,2018,MDPI
"Martin, Stephen J; ",Acaricide (pyrethroid) resistance in Varroa destructor,Bee World,85,4,67-69,2004,Taylor & Francis
"Pietropaoli, Marco; Formato, Giovanni; ",Liquid formic acid 60% to control varroa mites (Varroa destructor) in honey bee colonies (Apis mellifera): protocol evaluation,Journal of Apicultural Research,57,2,300-307,2018,Taylor & Francis
"Mitton, Giulia A; Meroi Arcerito, Facundo; Cooley, Hazel; Fernández de Landa, Gregorio; Eguaras, Martín J; Ruffinengo, Sergio R; Maggi, Matías D; ",More than sixty years living with Varroa destructor: a review of acaricide resistance,International Journal of Pest Management,,,Jan-18,2022,Taylor & Francis
"Kamler, Martin; Nesvorna, Marta; Stara, Jitka; Erban, Tomas; Hubert, Jan; ","Comparison of tau-fluvalinate, acrinathrin, and amitraz effects on susceptible and resistant populations of Varroa destructor in a vial test",Experimental and applied acarology,69,,01-Sep,2016,Springer International Publishing
"Maggi, Matías D; Ruffinengo, Sergio R; Negri, Pedro; Eguaras, Martín J; ",Resistance phenomena to amitraz from populations of the ectoparasitic mite Varroa destructor of Argentina,Parasitology research,107,,1189-1192,2010,Springer-Verlag
"Botías, Cristina; Martín‐Hernández, Raquel; Barrios, Laura; Garrido‐Bailón, Encarna; Nanetti, Antonio; Meana, Aranzazu; Higes, Mariano; ",Nosema spp. parasitization decreases the effectiveness of acaricide strips (Apivar®) in treating varroosis of honey bee (Apis mellifera iberiensis) colonies,Environmental Microbiology Reports,4,1,57-65,2012,Wiley Online Library
"Satta, Alberto; Floris, Ignazio; Caboni, Pierluigi; Cabras, Paolo; Eguaras, Martin; Velis, Gustavo; ",New experimental data on use of rotenone as an acaricide for control of Varroa destructor in honey bee colonies,Journal of economic entomology,101,4,1075-1080,2008,"Oxford University Press Oxford, UK"
